proposed,label
http://example.org/onto#Mental_or_emotional_strain,Mental or emotional strain
http://example.org/onto#State_Trait_Anxiety_Inventory_STAI,State-Trait Anxiety Inventory (STAI)
http://example.org/onto#Industry_5_0_paradigm,Industry 5.0 paradigm
http://example.org/onto#physical_parameters,physical parameters
http://example.org/onto#Machine,Machine
http://example.org/onto#Mechanical_components,Mechanical components
http://example.org/onto#Electrical_components,Electrical components
http://example.org/onto#Software_components,Software components
http://example.org/onto#Machine_PLC_programmable_logic_controller,Machine PLC (programmable logic controller)
http://example.org/onto#Electric_actuator,Electric actuator
http://example.org/onto#Physical_feedback,Physical feedback
http://example.org/onto#Motion_drives,Motion drives
http://example.org/onto#Optical_sensors,Optical sensors
http://example.org/onto#Pneumatic_gripping_systems,Pneumatic gripping systems
http://example.org/onto#Pressure_transducers,Pressure transducers
http://example.org/onto#qualitative_user_assessments,qualitative user assessments
http://example.org/onto#53,[53]
http://example.org/onto#54,[54]
http://example.org/onto#55,[55]
http://example.org/onto#56,[56]
http://example.org/onto#57,[57]
http://example.org/onto#58,[58]
http://example.org/onto#CPS_with_AI_agents_exhibiting_autonomous_behaviour,CPS with AI agents exhibiting autonomous behaviour
http://example.org/onto#post_application_operators_surveys,post-application operators' surveys
http://example.org/onto#qualitative_user_assessments,qualitative user assessments
http://example.org/onto#absenteeism_due_to_health_issues,absenteeism due to health issues
http://example.org/onto#in_work_injuries,in-work injuries
http://example.org/onto#AI_agents,AI agents
